measuring point,CON_L1,GF1,GF2,GF6,GF7,GF8,GF11,GF14,GF17,SEG1,GF3,GF4,CONV1,RIS10,RIS11,CONV2,SEG2,SEG3,SEG4,SEG5,dp2,ILS1,ILS2,dp1,GF19,GF22,GF23,ZL1,ZL2,CON_R1,CON_R2,RIS1,RIS2,RIS3,RIS4,RIS5,ULS1,ULS2,RIS12,RIS13,ZR1,ZR2,gm1,gm2
sensor number,1,3,4,6,7,8,9,10,11,13,15,16,17,21,22,23,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,48,49,50,51,52,53,101,102
sensor range,500,250,250,100,100,100,100,100,100,500,250,250,250,100,100,100,250,250,250,250,25,250,250,50,50,50,50,50,50,500,500,500,500,250,250,250,250,250,100,50,50,50,1,1
sensor height,-0.187,-0.046,0.033,0.233,0.349,0.449,0.599,0.749,0.899,-0.245,0.083,0.131,0.178,0.601,1.101,0.478,-0.205,-0.165,-0.084,-0.023,nan,0.628,0.628,nan,0.999,1.295,1.488,1.154,1.592,-0.35,-0.35,-0.29,-0.225,-0.16,-0.128,-0.03,1.056,1.056,1.637,1.735,1.401,1.839,0.0,0.0
2025-09-11 18:01:35.962,80.36,27.16,10.17,1.52,1.61,1.43,1.24,1.15,1.03,87.37,1.73,1.89,0.67,15.66,13.42,0.24,66.27,47.4,8.88,1.92,5.95,40.53,40.94,10.63,0.96,0.98,0.95,0.76,0.77,125.94,121.42,95.6,71.12,41.2,21.41,17.3,32.63,28.26,9.12,8.78,6.25,4.7,62.25,124.75
2025-09-11 18:01:36.212,79.95,26.76,9.97,1.52,1.77,1.76,1.24,1.15,1.11,87.37,2.13,2.51,0.87,15.82,13.91,0.4,66.68,47.2,9.29,2.53,5.73,41.35,41.35,10.84,1.0,0.98,0.91,0.84,0.85,126.34,117.76,96.82,69.08,42.22,22.64,16.9,32.63,29.08,9.77,8.87,6.21,4.74,62.25,124.75
2025-09-11 18:01:36.461,79.95,26.55,9.36,1.69,1.61,1.76,1.24,1.15,1.28,87.78,2.34,2.3,0.26,15.66,14.07,0.32,66.68,48.01,9.49,2.53,5.73,41.35,40.74,10.43,1.08,0.94,0.91,0.92,0.77,127.16,122.24,97.23,71.12,42.62,22.03,17.1,32.02,29.28,9.86,8.91,6.37,4.86,62.25,124.75
2025-09-11 18:01:36.736,78.32,26.35,9.36,1.36,1.29,1.19,0.75,0.58,0.71,84.92,0.91,1.28,-1.37,15.25,13.74,-0.33,64.84,45.97,8.07,1.31,5.22,40.12,39.31,10.47,0.88,0.69,0.62,0.68,0.52,124.72,121.42,92.74,65.8,41.61,21.01,16.49,33.65,28.87,9.53,9.11,5.92,4.49,62.25,124.75
2025-09-11 18:01:36.962,79.13,26.96,10.17,1.52,1.45,1.59,1.08,1.07,1.11,87.37,1.93,2.71,0.87,15.49,14.23,0.32,66.68,48.01,8.68,2.73,5.22,41.76,40.53,10.51,0.88,0.85,0.87,0.76,0.73,128.78,117.76,97.23,70.71,41.61,22.64,16.9,33.65,30.92,9.94,9.15,6.25,4.78,62.25,124.75
2025-09-11 18:01:37.211,76.68,26.35,9.56,1.77,1.53,1.51,1.24,0.99,1.11,87.37,1.32,2.1,0.67,15.25,13.66,0.4,66.47,46.58,8.68,1.31,4.97,40.94,40.33,10.06,0.88,0.81,0.82,0.8,0.6,126.34,114.5,94.78,69.49,41.4,21.41,16.08,33.04,33.37,9.53,8.99,6.04,4.7,62.25,124.75
2025-09-11 18:01:37.462,77.09,26.35,9.97,1.52,1.77,1.68,1.4,0.99,1.11,85.74,1.52,2.51,0.87,14.92,13.66,0.32,66.47,46.99,9.29,2.53,4.81,41.56,40.94,9.62,0.88,0.94,0.87,0.72,0.77,125.94,116.53,96.41,70.3,41.61,21.41,15.88,29.98,26.42,9.53,8.91,6.13,4.82,62.25,124.75
2025-09-11 18:01:37.738,76.68,26.76,10.99,1.52,1.61,1.27,1.0,0.66,0.47,85.33,0.7,1.69,-0.96,13.7,12.52,-0.17,64.43,45.56,7.05,1.71,4.54,39.92,39.31,8.97,0.55,0.65,0.62,0.72,0.52,123.91,107.57,93.15,67.85,40.38,20.19,15.07,26.51,24.38,8.88,8.54,5.92,4.58,62.25,124.75
2025-09-11 18:01:37.968,77.91,26.96,10.38,1.93,1.61,1.92,1.49,1.15,0.95,87.37,1.32,2.71,0.67,14.02,12.6,0.07,66.88,46.79,8.47,1.92,4.79,40.94,40.33,9.13,0.84,0.85,0.7,0.72,0.69,124.72,122.24,95.6,69.49,40.79,21.41,16.08,27.33,26.01,8.8,8.46,5.96,4.62,62.25,124.75
2025-09-11 18:01:38.218,78.73,27.78,10.78,2.34,2.26,2.25,1.4,0.74,0.95,88.6,2.34,3.32,0.26,14.11,12.6,0.07,67.9,48.42,9.49,2.94,5.05,40.94,39.31,9.29,0.76,0.73,0.74,0.6,0.6,125.13,113.27,95.19,69.49,39.98,20.8,15.88,28.76,26.22,9.04,8.42,6.13,4.7,62.25,124.75
